cadena_configuracion,accuracy_train,error_train,precision_train,recall_train,f1_score_train,accuracy_val,error_val,precision_val,recall_val,f1_score_val
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.0001_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.1_max_iter=200,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.1_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.2_max_iter=200,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.2_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.3_max_iter=200,0.8014059753954306,0.19859402460456943,0.8602941176470589,0.5545023696682464,0.6743515850144092,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.3_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.4_max_iter=200,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.4_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.5_max_iter=200,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.5_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.6_max_iter=200,0.8014059753954306,0.19859402460456943,0.855072463768116,0.5592417061611374,0.6762177650429799,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.6_max_iter=500,0.8014059753954306,0.19859402460456943,0.855072463768116,0.5592417061611374,0.6762177650429799,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.7_max_iter=200,0.8014059753954306,0.19859402460456943,0.855072463768116,0.5592417061611374,0.6762177650429799,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.7_max_iter=500,0.8014059753954306,0.19859402460456943,0.855072463768116,0.5592417061611374,0.6762177650429799,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.8_max_iter=200,0.8014059753954306,0.19859402460456943,0.855072463768116,0.5592417061611374,0.6762177650429799,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.8_max_iter=500,0.8014059753954306,0.19859402460456943,0.855072463768116,0.5592417061611374,0.6762177650429799,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.9_max_iter=200,0.8014059753954306,0.19859402460456943,0.855072463768116,0.5592417061611374,0.6762177650429799,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.9_max_iter=500,0.8014059753954306,0.19859402460456943,0.855072463768116,0.5592417061611374,0.6762177650429799,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=1_max_iter=200,0.7996485061511424,0.20035149384885764,0.8540145985401459,0.5545023696682464,0.6724137931034483,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=1_max_iter=500,0.8014059753954306,0.19859402460456943,0.855072463768116,0.5592417061611374,0.6762177650429799,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=tanh_solver=lbfgs_alpha=0_max_iter=200,0.6291739894551845,0.37082601054481545,0.0,0.0,nan,0.6056338028169014,0.3943661971830986,0.0,0.0,nan
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=tanh_solver=lbfgs_alpha=0_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=tanh_solver=lbfgs_alpha=0.0001_max_iter=200,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=tanh_solver=lbfgs_alpha=0.0001_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=tanh_solver=lbfgs_alpha=0.1_max_iter=200,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.8309859154929577,0.16901408450704225,0.9444444444444444,0.6071428571428571,0.7391304347826088
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=tanh_solver=lbfgs_alpha=0.1_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=tanh_solver=lbfgs_alpha=0.2_max_iter=200,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.8309859154929577,0.16901408450704225,0.9444444444444444,0.6071428571428571,0.7391304347826088
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=tanh_solver=lbfgs_alpha=0.2_max_iter=500,0.6291739894551845,0.37082601054481545,0.0,0.0,nan,0.6056338028169014,0.3943661971830986,0.0,0.0,nan
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=tanh_solver=lbfgs_alpha=0.3_max_iter=200,0.6291739894551845,0.37082601054481545,0.0,0.0,nan,0.6056338028169014,0.3943661971830986,0.0,0.0,nan
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=tanh_solver=lbfgs_alpha=0.3_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
